tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,storm_count,river_dist_mi,low_lying_norm,flood_days_norm,stormwater_norm,riverine_norm,compound_flood_norm,svi_norm,infrastructure_norm,coverage_norm,score
48167720800,Galveston County,0.6174,3649,29.4668759,-95.0718982,34.0,"Eagle Point, TX",16.0,0.0,0.0,,0.8024691358024691,1.0,0.0,0.0,0.9012345679012346,0.6177706623974384,0.0,0.48942291869477783,0.6398290461442648
48167725100,Galveston County,0.9022,1887,29.2907716,-94.8095777,18.0,"Galveston Pier 21, TX",6.0,0.0,0.0,,0.9259259259259259,0.3142857142857143,0.0,0.0,0.62010582010582,0.9027416449869923,0.0,0.8993490032174551,0.6398050128654622
48167721302,Galveston County,0.4814,1637,29.5313975,-95.0864098,34.0,"Eagle Point, TX",0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,0.4816890134080448,0.0,0.4109897584079443,0.6356056798632079
48167721703,Galveston County,0.465,3788,29.4942773,-94.9706455,34.0,"Eagle Point, TX",4.0,0.0,0.0,,0.9506172839506173,1.0,0.0,0.0,0.9753086419753088,0.46527916750050036,0.0,0.5570147599077158,0.6341741151298106
48167721901,Galveston County,0.5003,4606,29.4352815,-95.0430108,34.0,"Eagle Point, TX",8.0,0.0,0.0,,0.9012345679012346,1.0,0.0,0.0,0.9506172839506173,0.5006003602161296,0.0,0.5472758221652126,0.632685468059138
48167723401,Galveston County,0.5312,1966,29.4159751,-95.1700594,34.0,"Eagle Point, TX",10.0,0.0,0.0,,0.8765432098765432,1.0,0.0,0.0,0.9382716049382717,0.5315189113468081,0.0,0.48255213889166565,0.6299331095154312
48167725200,Galveston County,0.8895,1730,29.288466,-94.825915,18.0,"Galveston Pier 21, TX",8.0,0.0,0.0,,0.9012345679012346,0.3142857142857143,0.0,0.0,0.6077601410934744,0.8900340204122473,0.0,0.8869715667761743,0.6291994262933552
48167721103,Galveston County,0.4627,3665,29.4793964,-95.0137979,34.0,"Eagle Point, TX",5.0,0.0,0.0,,0.9382716049382716,1.0,0.0,0.0,0.9691358024691358,0.46297778667200323,0.0,0.5283089749101975,0.6278353446037318
48167721101,Galveston County,0.4499,3271,29.4806668,-95.0555602,34.0,"Eagle Point, TX",6.0,0.0,0.0,,0.9259259259259259,1.0,0.0,0.0,0.962962962962963,0.4501701020612368,0.0,0.48902226232659923,0.6172865901843643
48167724700,Galveston County,0.8146,1791,29.2946041,-94.7998089,18.0,"Galveston Pier 21, TX",6.0,0.0,0.0,,0.9259259259259259,0.3142857142857143,0.0,0.0,0.62010582010582,0.8150890534320593,0.0,0.9044962106382769,0.6140239561410645
48167724400,Galveston County,0.8372,3704,29.299008,-94.7843945,18.0,"Galveston Pier 21, TX",9.0,0.0,0.0,,0.8888888888888888,0.3142857142857143,0.0,0.0,0.6015873015873016,0.8377026215729438,0.0,0.9145188952844167,0.6134769617146104
48167723503,Galveston County,0.4533,3002,29.3825245,-95.1538766,34.0,"Eagle Point, TX",10.0,0.0,0.0,,0.8765432098765432,1.0,0.0,0.0,0.9382716049382717,0.45357214328597156,0.0,0.5345812614777163,0.6117519913557854
48167722001,Galveston County,0.3246,6539,29.4183141,-94.9251851,34.0,"Eagle Point, TX",2.0,0.0,0.0,,0.9753086419753086,1.0,0.0,0.0,0.9876543209876543,0.3247948769261557,0.0,0.6693309490985975,0.608816002432151
48167720510,Galveston County,0.4804,4463,29.4879695,-95.1224093,34.0,"Eagle Point, TX",12.0,0.0,0.0,,0.8518518518518519,1.0,0.0,0.0,0.9259259259259259,0.4806884130478287,0.0,0.425697514521832,0.6034429420331985
48167724101,Galveston County,0.7085,1064,29.3220243,-94.743232,18.0,"Galveston Pier 21, TX",0.0,0.0,0.0,,1.0,0.3142857142857143,0.0,0.0,0.657142857142857,0.7089253552131279,0.0,0.9328038411465457,0.6016722763928786
48167723600,Galveston County,0.3089,4227,29.3036252,-95.0323847,34.0,"Eagle Point, TX",5.0,0.0,0.0,,0.9382716049382716,1.0,0.0,0.0,0.9691358024691358,0.3090854512707625,0.0,0.7070403580266578,0.5995407822950056
48167723300,Galveston County,0.3777,9365,29.4077754,-95.0618951,34.0,"Eagle Point, TX",8.0,0.0,0.0,,0.9012345679012346,1.0,0.0,0.0,0.9506172839506173,0.3779267560536322,0.0,0.5629700302555313,0.5974528076194205
48167722100,Galveston County,0.3259,7496,29.4024261,-94.9088859,34.0,"Eagle Point, TX",10.0,0.0,0.0,,0.8765432098765432,1.0,0.0,0.0,0.9382716049382717,0.3260956573944367,0.0,0.6996491557695124,0.5900158350175045
48201350803,Harris County,0.4652,2998,29.5298847,-95.1496154,34.0,"Eagle Point, TX",13.0,0.0,0.0,,0.8395061728395061,1.0,0.0,0.0,0.9197530864197531,0.46547928757254353,0.0,0.3575909583400356,0.5892917709946556
48167724000,Galveston County,0.7237,3513,29.3510179,-94.823586,18.0,"Galveston Pier 21, TX",3.0,0.0,0.0,,0.962962962962963,0.3142857142857143,0.0,0.0,0.6386243386243386,0.7241344806884131,0.0,0.8286035106132879,0.5874816476488052
48167725800,Galveston County,0.7281,5107,29.2834323,-94.8633315,18.0,"Galveston Pier 21, TX",6.0,0.0,0.0,,0.9259259259259259,0.3142857142857143,0.0,0.0,0.62010582010582,0.728537122273364,0.0,0.8595447358701727,0.5835632293166455
48167725000,Galveston County,0.7247,1787,29.2831185,-94.808191,18.0,"Galveston Pier 21, TX",9.0,0.0,0.0,,0.8888888888888888,0.3142857142857143,0.0,0.0,0.6015873015873016,0.7251350810486292,0.0,0.9081984531660167,0.5790746553454761
48167720703,Galveston County,0.3029,5133,29.4802543,-95.0891522,34.0,"Eagle Point, TX",6.0,0.0,0.0,,0.9259259259259259,1.0,0.0,0.0,0.962962962962963,0.3030818491094657,0.0,0.4607720279991927,0.5703350908660922
48167723505,Galveston County,0.2602,2198,29.3291253,-95.109837,34.0,"Eagle Point, TX",8.0,0.0,0.0,,0.9012345679012346,1.0,0.0,0.0,0.9506172839506173,0.2603562137282369,0.0,0.6275310969216064,0.5686377515884096
48201341203,Harris County,0.3019,2653,29.541553,-95.0979108,34.0,"Eagle Point, TX",4.0,0.0,0.0,,0.9506172839506173,1.0,0.0,0.0,0.9753086419753088,0.3020812487492496,0.0,0.39058143023719527,0.5685714065373834
48167724900,Galveston County,0.6637,1614,29.28692,-94.8013962,18.0,"Galveston Pier 21, TX",9.0,0.0,0.0,,0.8888888888888888,0.3142857142857143,0.0,0.0,0.6015873015873016,0.6640984590754453,0.0,0.9105778880599402,0.5610016122429133
48167726200,Galveston County,0.6835,2748,29.3590201,-94.9128392,18.0,"Galveston Pier 21, TX",6.0,0.0,0.0,,0.9259259259259259,0.3142857142857143,0.0,0.0,0.62010582010582,0.6839103462077246,0.0,0.7385120068893304,0.5580719235988695
48167721502,Galveston County,0.2449,2207,29.5522192,-95.053794,34.0,"Eagle Point, TX",3.0,0.0,0.0,,0.962962962962963,1.0,0.0,0.0,0.9814814814814815,0.24504702821693017,0.0,0.42422062179866354,0.5576028373116121
