tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,flood_days_norm,svi_norm,low_lying_norm,infrastructure_norm,coverage_norm,score
13051000601,Chatham County,0.9626,4974,32.0796728,-81.1166491,14.333333333333334,"Fort Pulaski, GA",7.0,161,1.0,0.9759605506472159,0.7954545454545454,1.0,0.13878403442929096,0.8453029322734574
13051004400,Chatham County,0.9511,2518,32.0384907,-81.1205614,14.333333333333334,"Fort Pulaski, GA",2.0,65,1.0,0.9641462913499074,0.9090909090909091,0.40372670807453415,0.11263634213161954,0.783793800556587
13051003501,Chatham County,0.9093,2327,32.0347682,-81.0841313,14.333333333333334,"Fort Pulaski, GA",3.0,84,1.0,0.92120402712143,0.8863636363636364,0.5217391304347826,0.13095206220147726,0.7836263748308849
13051002000,Chatham County,0.9003,1603,32.0607071,-81.0889828,14.333333333333334,"Fort Pulaski, GA",8.0,119,1.0,0.9119580850626668,0.7727272727272727,0.7391304347826086,0.14119692575715848,0.780394865130089
13051001200,Chatham County,0.9381,2541,32.065001,-81.108689,14.333333333333334,"Fort Pulaski, GA",13.0,119,1.0,0.9507910417094719,0.6590909090909092,0.7391304347826086,0.13359545063123898,0.7571936955206295
13051004209,Chatham County,0.8607,3891,31.9726964,-81.126552,14.333333333333334,"Fort Pulaski, GA",-2.0,39,1.0,0.8712759400041094,1.0,0.2422360248447205,0.08162417659047988,0.7558806033869888
13051011600,Chatham County,0.7463,1907,32.0902725,-81.1332105,14.333333333333334,"Fort Pulaski, GA",8.0,134,1.0,0.7537497431682761,0.7727272727272727,0.8322981366459627,0.13872517056466524,0.7466603423220256
13051010601,Chatham County,0.8395,4606,32.1081266,-81.1538823,14.333333333333334,"Fort Pulaski, GA",6.0,77,1.0,0.8494966098212451,0.8181818181818181,0.4782608695652174,0.1439072118149436,0.7364333800171958
13051003301,Chatham County,0.7082,1665,32.0724559,-81.1244804,14.333333333333334,"Fort Pulaski, GA",8.0,134,1.0,0.7146085884528457,0.7727272727272727,0.8322981366459627,0.13074091251346892,0.7341195701022768
13051011700,Chatham County,0.8877,3151,32.0800675,-81.0967829,14.333333333333334,"Fort Pulaski, GA",14.0,116,1.0,0.8990137661803985,0.6363636363636364,0.7204968944099379,0.14824740024377156,0.7335124949490783
13051002800,Chatham County,0.9705,3552,32.049231,-81.1092499,14.333333333333334,"Fort Pulaski, GA",12.0,74,1.0,0.984076433121019,0.6818181818181819,0.45962732919254656,0.12437877441161274,0.7311503613018036
13051004207,Chatham County,0.9575,3240,31.9966229,-81.13764,14.333333333333334,"Fort Pulaski, GA",12.0,77,1.0,0.9707211834805836,0.6818181818181819,0.4782608695652174,0.08271373262561595,0.7257723132869738
13051004500,Chatham County,0.9323,3904,32.0490295,-81.1314223,14.333333333333334,"Fort Pulaski, GA",11.0,74,1.0,0.9448325457160468,0.7045454545454546,0.45962732919254656,0.11316120421761626,0.725073619879094
13191110201,McIntosh County,0.797,2513,31.46643,-81.3102625,14.333333333333334,"Fort Pulaski, GA",1.0,0,1.0,0.8058352167659749,0.9318181818181819,0.0,0.37166729519423214,0.7084627490946703
13051002300,Chatham County,0.8409,1821,32.0577219,-81.1112234,14.333333333333334,"Fort Pulaski, GA",15.0,109,1.0,0.8509348674748305,0.6136363636363636,0.6770186335403726,0.12813066191527966,0.7037372305559421
13051010504,Chatham County,0.9788,4505,32.074917,-81.1688935,14.333333333333334,"Fort Pulaski, GA",8.0,13,1.0,0.9926032463529895,0.7727272727272727,0.08074534161490683,0.11492158818174668,0.7032031157844892
13051002100,Chatham County,0.7582,2167,32.058506,-81.0807397,14.333333333333334,"Fort Pulaski, GA",9.0,85,1.0,0.7659749332237518,0.75,0.5279503105590062,0.1444324089235433,0.6984282674433308
13051011400,Chatham County,0.8424,1854,32.0561791,-81.1010266,14.333333333333334,"Fort Pulaski, GA",16.0,109,1.0,0.8524758578179578,0.5909090909090908,0.6770186335403726,0.13245003011492695,0.6978132826606631
13051004001,Chatham County,0.8762,4524,32.0169061,-81.0997519,14.333333333333334,"Fort Pulaski, GA",21.0,117,1.0,0.8871995068830901,0.4772727272727273,0.7267080745341615,0.11390910131934892,0.6797387915588045
13051011300,Chatham County,0.7132,2114,32.0622457,-81.0982166,14.333333333333334,"Fort Pulaski, GA",15.0,122,1.0,0.7197452229299361,0.6136363636363636,0.7577639751552795,0.13725391940591017,0.6774044641837729
13051002200,Chatham County,0.7625,4229,32.052376,-81.0707688,14.333333333333334,"Fort Pulaski, GA",10.0,61,1.0,0.7703924388740497,0.7272727272727273,0.37888198757763975,0.14686121196543203,0.6708179691772223
13051001100,Chatham County,0.6128,1556,32.0673353,-81.0809976,14.333333333333334,"Fort Pulaski, GA",6.0,81,1.0,0.6166016026299569,0.8181818181818181,0.5031055900621118,0.1489626818397949,0.6707971329368287
13039010604,Camden County,0.8618,3961,30.751785,-81.5598166,9.333333333333334,"Fernandina Beach, FL",1.0,28,0.0,0.8724059995890692,0.9318181818181819,0.17391304347826086,0.9795825926835033,0.6653124702122647
13051002600,Chatham County,0.7513,1866,32.054159,-81.0931284,14.333333333333334,"Fort Pulaski, GA",13.0,80,1.0,0.7588863776453666,0.6590909090909092,0.4968944099378882,0.13551035162161942,0.6634783826737279
13051011800,Chatham County,0.6617,1710,32.0828593,-81.0540407,14.333333333333334,"Fort Pulaski, GA",2.0,24,1.0,0.666837887815903,0.9090909090909091,0.14906832298136646,0.17150270669989148,0.6622891581892378
13051010901,Chatham County,0.9676,4234,31.9644699,-81.178171,14.333333333333334,"Fort Pulaski, GA",11.0,2,1.0,0.9810971851243065,0.7045454545454546,0.012422360248447204,0.045539853066216024,0.6621101312448171
13051010816,Chatham County,0.9108,2714,32.0246732,-81.2393085,14.333333333333334,"Fort Pulaski, GA",13.0,29,1.0,0.9227450174645573,0.6590909090909092,0.18012422360248448,0.058873061933318024,0.6574567177003444
13127000702,Glynn County,0.986,4644,31.1828244,-81.5134068,9.333333333333334,"Fernandina Beach, FL",1.0,15,0.0,1.0,0.9318181818181819,0.09316770186335403,0.6280703163748851,0.6563276414624462
13051003700,Chatham County,0.7953,2245,32.0655737,-81.0660527,14.333333333333334,"Fort Pulaski, GA",14.0,62,1.0,0.804088761043764,0.6363636363636364,0.38509316770186336,0.1560388518155295,0.6555035795590526
13051002700,Chatham County,0.5761,2956,32.0518472,-81.0843019,14.333333333333334,"Fort Pulaski, GA",7.0,82,1.0,0.5788987055681116,0.7954545454545454,0.5093167701863354,0.13908427835327533,0.652611918670075
13127000800,Glynn County,0.9709,4241,31.1402126,-81.5086931,9.333333333333334,"Fernandina Beach, FL",3.0,25,0.0,0.9844873638791862,0.8863636363636364,0.15527950310559005,0.6609186597402203,0.6506390915127073
13051003601,Chatham County,0.7258,3933,32.0619461,-81.0482825,14.333333333333334,"Fort Pulaski, GA",7.0,27,1.0,0.7326895418122047,0.7954545454545454,0.16770186335403728,0.16416072347707455,0.6500145780308381
13051010102,Chatham County,0.8589,4319,32.023324,-81.051857,14.333333333333334,"Fort Pulaski, GA",12.0,19,1.0,0.8694267515923567,0.6818181818181819,0.11801242236024845,0.14571425889250142,0.6476467692664489
13127000701,Glynn County,0.8982,3425,31.207756,-81.4880673,9.333333333333334,"Fernandina Beach, FL",0.0,30,0.0,0.9098006985822887,0.9545454545454546,0.18633540372670807,0.6035842082967735,0.6476125773270066
13127000501,Glynn County,0.9604,4215,31.1758545,-81.4752744,9.333333333333334,"Fernandina Beach, FL",5.0,37,0.0,0.973700431477296,0.8409090909090909,0.22981366459627328,0.6267621564695965,0.6415311220523168
13051003602,Chatham County,0.7589,4726,32.0485293,-81.0567866,14.333333333333334,"Fort Pulaski, GA",13.0,49,1.0,0.7666940620505445,0.6590909090909092,0.30434782608695654,0.15306460432285937,0.6386941256877654
13051003302,Chatham County,0.461,2086,32.0651866,-81.1268036,14.333333333333334,"Fort Pulaski, GA",9.0,114,1.0,0.46065337990548594,0.75,0.7080745341614907,0.12514468022156738,0.6319216621180261
13051010813,Chatham County,0.8525,5383,32.0157346,-81.2578533,14.333333333333334,"Fort Pulaski, GA",14.0,28,1.0,0.8628518594616807,0.6363636363636364,0.17391304347826086,0.05027844478815823,0.63087944974815
13051004208,Chatham County,0.6747,4150,31.9853784,-81.1427674,14.333333333333334,"Fort Pulaski, GA",13.0,69,1.0,0.6801931374563385,0.6590909090909092,0.42857142857142855,0.0751457302024118,0.6235855012701298
13029920303,Bryan County,0.8287,6922,31.9388503,-81.3220146,14.333333333333334,"Fort Pulaski, GA",16.0,45,1.0,0.8384014793507294,0.5909090909090908,0.2795031055900621,0.02866727805213479,0.6235853647216689
13051003400,Chatham County,0.6254,4417,32.0330666,-81.1029305,14.333333333333334,"Fort Pulaski, GA",16.0,97,1.0,0.6295459215122252,0.5909090909090908,0.6024844720496895,0.1194271736431979,0.6184518918981681
13051010702,Chatham County,0.6848,6931,32.2090275,-81.2112312,14.333333333333334,"Fort Pulaski, GA",10.0,23,1.0,0.6905691391000616,0.7272727272727273,0.14285714285714285,0.2114580345743624,0.6179269347978443
13179010402,Liberty County,0.814,4093,31.8174281,-81.572421,14.333333333333334,"Fort Pulaski, GA",13.0,0,1.0,0.8232997739880829,0.6590909090909092,0.0,0.22387380297265386,0.617104585220963
13051004002,Chatham County,0.6639,3274,32.0006956,-81.1000011,14.333333333333334,"Fort Pulaski, GA",17.0,90,1.0,0.6690980069858229,0.5681818181818181,0.5590062111801242,0.10742903722094507,0.6157777829494054
13051003502,Chatham County,0.6542,3818,32.0307028,-81.0760378,14.333333333333334,"Fort Pulaski, GA",14.0,64,1.0,0.659132936100267,0.6363636363636364,0.39751552795031053,0.1339035915293653,0.611666660084654
13051010811,Chatham County,0.561,4930,32.0940072,-81.2859943,14.333333333333334,"Fort Pulaski, GA",9.0,59,1.0,0.5633860694472981,0.75,0.36645962732919257,0.11592736328321428,0.6105775012618898
13051003800,Chatham County,0.606,2804,32.0269646,-81.0669546,14.333333333333334,"Fort Pulaski, GA",10.0,48,1.0,0.6096157797411135,0.7272727272727273,0.2981366459627329,0.13781268747306044,0.6095683177458682
13051011900,Chatham County,0.597,2022,32.0692579,-81.0923569,14.333333333333334,"Fort Pulaski, GA",20.0,122,1.0,0.6003698376823505,0.5,0.7577639751552795,0.14416689402903138,0.6081922369809003
13051010502,Chatham County,0.9068,4130,32.0289953,-81.1670949,14.333333333333334,"Fort Pulaski, GA",18.0,9,1.0,0.9186357098828848,0.5454545454545454,0.055900621118012424,0.08432938867655282,0.6060451086365862
13051010200,Chatham County,0.738,4468,31.9968174,-81.0678485,14.333333333333334,"Fort Pulaski, GA",14.0,30,1.0,0.7452229299363058,0.6363636363636364,0.18633540372670807,0.1267865815582813,0.605104938604817
13127000503,Glynn County,0.8136,3951,31.1988891,-81.4671337,9.333333333333334,"Fernandina Beach, FL",2.0,24,0.0,0.8228888432299156,0.9090909090909091,0.14906832298136646,0.6070307083589017,0.6026572449793426
13051010806,Chatham County,0.4973,6504,31.9798614,-81.2035921,14.333333333333334,"Fort Pulaski, GA",1.0,21,1.0,0.49794534620916375,0.9318181818181819,0.13043478260869565,0.037444251760558774,0.6022387009755639
13179010301,Liberty County,0.6931,1105,31.8459196,-81.6024863,14.333333333333334,"Fort Pulaski, GA",20.0,74,1.0,0.6990959523320321,0.5,0.45962732919254656,0.2352894499545929,0.602201830073951
13029920301,Bryan County,0.76,1977,31.8986194,-81.356358,14.333333333333334,"Fort Pulaski, GA",11.0,3,1.0,0.7678241216355044,0.7045454545454546,0.018633540372670808,0.059062953139974776,0.6004121992241858
