lat,lon,elevation_m
29.7764643,-95.1762714,11.0
29.4500898,-95.1624231,8.0
29.5130603,-95.0697018,11.0
29.7911155,-95.1159594,12.0
29.543689,-95.0692948,6.0
29.7875298,-95.1793273,15.0
29.6598065,-95.2410022,13.0
29.6948991,-95.1919944,14.0
29.5298056,-95.062953,6.0
29.6862136,-95.2110294,14.0
29.7048504,-95.2137873,11.0
29.858073,-95.2225389,16.0
29.673244,-95.1791015,14.0
29.7708371,-95.2453025,12.0
29.2861118,-94.8267611,8.0
29.665047,-95.2118806,14.0
29.8277499,-95.2500065,16.0
29.7473922,-95.2378885,12.0
29.4650862,-95.1035399,7.0
29.2607101,-94.8608274,3.0
29.6879241,-95.169993,11.0
29.6369249,-95.2004177,17.0
29.6164272,-95.2262094,16.0
29.7343474,-94.9429906,11.0
29.513747,-95.017292,5.0
29.4755707,-95.1410209,9.0
29.65813,-95.107354,9.0
29.7465598,-95.3167847,9.0
29.690418,-95.2904739,13.0
29.7143094,-95.2051224,10.0
29.6735514,-95.1465361,13.0
29.7190269,-95.2752207,11.0
29.2920594,-94.7927922,11.0
29.4781666,-95.1708995,12.0
29.7764872,-94.9848905,10.0
29.5363733,-95.0462401,8.0
29.434084,-95.0984185,10.0
29.4933816,-95.0540747,6.0
29.4830867,-95.1967697,11.0
29.6477726,-95.2437602,14.0
29.818201,-95.282634,17.0
29.7522771,-94.9855197,12.0
29.4976901,-95.0718544,6.0
29.5608759,-95.1203121,12.0
29.6722584,-95.3472142,15.0
29.7971528,-95.1825606,13.0
29.673705,-95.131227,13.0
29.5124533,-95.1497302,13.0
29.689777,-95.3077088,16.0
29.6635175,-95.3705233,17.0
29.676607,-95.1995552,13.0
29.7015072,-95.2175148,9.0
29.7108472,-95.4758568,20.0
29.6494261,-95.2190701,14.0
29.7952549,-95.3603917,18.0
29.6524884,-95.3437917,15.0
29.7287156,-94.9645049,12.0
29.5090996,-95.0530315,6.0
29.3037509,-94.7945196,12.0
29.7766026,-95.1662698,14.0
29.6597943,-95.2630572,15.0
29.5000007,-95.0157978,8.0
29.875083,-95.2473537,22.0
29.7965959,-95.3043165,16.0
29.6713783,-95.2499807,13.0
29.7830028,-95.1613706,17.0
29.8357583,-95.3975741,20.0
29.7093273,-95.5961331,27.0
29.6321549,-95.2406195,15.0
29.654967,-95.4970625,23.0
29.6992092,-95.3128178,16.0
29.7009123,-95.2681003,10.0
29.709965,-95.2795647,12.0
29.7357279,-95.3009728,12.0
29.7230027,-95.4805288,22.0
