tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,impervious_frac,river_dist_mi,low_lying_norm,svi_norm,tidal_c,storm_c,river_c,sc_A,in50_A,sc_B,in50_B,sc_C,in50_C,sc_D,in50_D,sc_E,in50_E,n50,mean_rank
48167722200,Galveston County,0.8798,2842,29.390097,-94.9014714,34.0,"Eagle Point, Galveston, TX",6.0,0.5602792653061225,5.065666809290568,0.9259259259259259,0.880328196918151,0.962962962962963,0.7044936609724188,0.7763149689112427,0.9299090565450383,1,0.924955035052047,1,0.9246613128812227,1,0.9398306477633456,1,0.9175172286963976,1,5,5.0
48167722300,Galveston County,0.8436,7283,29.390119,-94.9240602,34.0,"Eagle Point, Galveston, TX",11.0,0.5203874285714286,4.422158278776598,0.8641975308641976,0.844106463878327,0.9320987654320988,0.6543337713524033,0.8048879433753646,0.8969018448105901,1,0.8940495349820576,1,0.8867971070158143,1,0.9106972253499679,1,0.8857256897981025,1,5,14.8
48201310500,Harris County,0.9571,3452,29.7465598,-95.3167847,10.667,"Morgans Point, TX",9.0,0.6348472653061223,0.7131799094472852,0.8888888888888888,0.9576746047628577,0.4444444444444444,0.7982552662366948,0.9695734746614587,0.6497365085718098,0,0.8834363242000969,1,0.9242224575096525,1,0.8586902306791767,1,0.895809370960557,1,4,19.6
48201421104,Harris County,0.9868,4088,29.7230027,-95.4805288,10.667,"Morgans Point, TX",22.0,0.7763970612244897,2.308422973442307,0.7283950617283951,0.9873924354612769,0.36419753086419754,0.9762396038900691,0.8987417184838181,0.6134754927030293,0,0.9037447297469658,1,0.9827849833510129,1,0.8758621611755288,1,0.9176860140326843,1,4,27.4
48201233400,Harris County,0.9744,2662,29.7708371,-95.2453025,10.667,"Morgans Point, TX",12.0,0.5967364081632652,1.1149155847849064,0.8518518518518519,0.9749849909945969,0.42592592592592593,0.7503347756279647,0.9517356642076011,0.6455495519533943,0,0.8639824630804229,1,0.9010311289927293,1,0.8269816204423651,1,0.882482884399452,1,4,33.2
48201311400,Harris County,0.958,1471,29.7190269,-95.2752207,10.667,"Morgans Point, TX",11.0,0.5781561632653061,0.29456108531891484,0.8641975308641976,0.9585751450870522,0.4320987654320988,0.7269720250132771,0.9881609282923643,0.6426893172940802,0,0.8634390466549782,1,0.8935269402322119,1,0.8317270138442868,1,0.8792950630603238,1,4,35.4
48201311702,Harris County,0.8955,2004,29.7010603,-95.2990496,10.667,"Morgans Point, TX",13.0,0.724814612244898,0.9332839575612737,0.8395061728395061,0.8960376225735441,0.41975308641975306,0.9113799694652602,0.959800445947779,0.6102669008812696,0,0.8834016233824901,1,0.9432576496612004,1,0.8791896236521388,1,0.8855076232476657,1,4,35.4
48201432806,Harris County,0.993,4827,29.7110597,-95.5124738,10.667,"Morgans Point, TX",26.0,0.757841224489796,1.7799201107741416,0.6790123456790124,0.9935961576946168,0.3395061728395062,0.9529075440350816,0.9222082276024646,0.6011421667815504,0,0.8985400894542488,1,0.9743570262152814,1,0.8668547333741262,1,0.9143827674943101,1,4,36.6
48201332900,Harris County,0.9798,4953,29.690418,-95.2904739,10.667,"Morgans Point, TX",13.0,0.5571732244897959,0.09098205986886011,0.8395061728395061,0.980388232939764,0.41975308641975306,0.7005881334947456,0.9972002152944641,0.6440071450277574,0,0.8628714446155606,1,0.8894780813808345,1,0.8236991818408264,1,0.8824575760029278,1,4,37.6
48201421601,Harris County,0.9688,2995,29.7009353,-95.4900265,10.667,"Morgans Point, TX",24.0,0.705982775510204,0.8836883651071868,0.7037037037037037,0.9693816289773864,0.35185185185185186,0.8877008679428959,0.962002582406781,0.5988637627020658,0,0.8847645164450523,1,0.9468399987526315,1,0.8565588122676077,1,0.8988673685337747,1,4,41.8
48201310900,Harris County,0.936,4911,29.7357279,-95.3009728,10.667,"Morgans Point, TX",12.0,0.6199917551020409,1.3094362689542518,0.8518518518518519,0.9365619371622975,0.42592592592592593,0.7795759871390321,0.9430985843897547,0.6301803304204745,0,0.8550621810089651,1,0.8970170294681299,1,0.8278955956245212,1,0.8686454737011873,1,4,44.4
48201211700,Harris County,0.9622,3707,29.7965959,-95.3043165,10.667,"Morgans Point, TX",16.0,0.6490555918367348,2.322487275731061,0.8024691358024691,0.9627776665999601,0.4012345679012346,0.816120778301243,0.898117237329184,0.6258518073807248,0,0.855179682943468,1,0.9082817100643753,1,0.8193136883913039,1,0.87311268021955,1,4,44.8
48201432805,Harris County,0.9698,2402,29.7068143,-95.5169389,10.667,"Morgans Point, TX",26.0,0.7543345306122449,1.5308403868394196,0.6790123456790124,0.9703822293376027,0.3395061728395062,0.9484982364617311,0.9332678301625628,0.5918565954387448,0,0.8913360108144097,1,0.9655819676679028,1,0.8649872713066789,1,0.9045103805682753,1,4,45.2
48201232703,Harris County,0.8865,2297,29.7732559,-95.2217304,10.667,"Morgans Point, TX",12.0,0.6651713469387754,0.6805083152536682,0.8518518518518519,0.8870322193315989,0.42592592592592593,0.8363846859883646,0.9710241541510543,0.6103684432881951,0,0.8617714876215796,1,0.9094496322241126,1,0.8533512437182398,1,0.8659816095732494,1,4,45.6
48201433507,Harris County,0.9927,2941,29.6792534,-95.5571892,10.667,"Morgans Point, TX",28.0,0.6812439183673469,0.13141723075766149,0.654320987654321,0.993295977586552,0.3271604938271605,0.8565942946390941,0.995404818574027,0.5936146873309172,0,0.8873205704313226,1,0.944217542728315,1,0.8519954347129128,1,0.9049831382905276,1,4,46.4
48201432705,Harris County,0.9609,5562,29.7253976,-95.4962756,10.667,"Morgans Point, TX",24.0,0.7411318367346938,2.5980836696000496,0.7037037037037037,0.961476886131679,0.35185185185185186,0.9318972042257584,0.8858802453531286,0.5957018655637828,0,0.8716100193135771,1,0.9464733708986137,1,0.8416543970408765,1,0.8865878304499274,1,4,48.8
48201421205,Harris County,0.9337,2877,29.718099,-95.4937154,10.667,"Morgans Point, TX",23.0,0.7677737959183673,2.0896404842995127,0.7160493827160495,0.9342605563338003,0.3580246913580247,0.9653967329840266,0.9084560675235756,0.588519037348335,0,0.88020670647287,1,0.9573988471544437,1,0.8621887565192267,1,0.8892156814496918,1,4,51.8
48201421403,Harris County,0.9526,4793,29.7091209,-95.4888961,10.667,"Morgans Point, TX",25.0,0.7358425306122448,1.440511245051621,0.691358024691358,0.9531719031418852,0.345679012345679,0.9252464447474971,0.9372786118993758,0.5886761686641615,0,0.8803616404999606,1,0.9504238927157365,1,0.8560915529526523,1,0.8924966842736146,1,4,52.0
48201421402,Harris County,0.9329,3864,29.7145907,-95.4868557,10.667,"Morgans Point, TX",24.0,0.7702992653061224,1.7875417705692191,0.7037037037037037,0.9334600760456274,0.35185185185185186,0.9685722514885018,0.9218698117456847,0.5844951415293621,0,0.8831467770929385,1,0.9601749955736055,1,0.8663756774420424,1,0.8915323269183868,1,4,52.8
48201311502,Harris County,0.9266,3745,29.709965,-95.2795647,10.667,"Morgans Point, TX",12.0,0.5963397551020408,0.6938511167641181,0.8518518518518519,0.9271562937762657,0.42592592592592593,0.7498360251216699,0.9704317089716042,0.6264180730660618,0,0.8505466014982828,1,0.8859315036497337,1,0.825010037405622,1,0.8633148835446134,1,4,53.0
