tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,impervious_frac,river_dist_mi,low_lying_norm,svi_norm,tidal_c,storm_c,river_c,sc_A,in50_A,sc_B,in50_B,sc_C,in50_C,sc_D,in50_D,sc_E,in50_E,n50,mean_rank
48167720100,Galveston County,0.2117,5701,29.5430634,-95.2097728,10.667,"Morgans Point, TX",12.0,0.36452832653061223,0.34004614730971344,0.8518518518518519,0.21182709625775467,0.42592592592592593,0.45835695016374906,0.986141307023748,0.3402863940586574,0,0.47810113415154754,0,0.47057658930304086,0,0.5668591467828119,0,0.4337221278359154,0,0,902.6
48167720200,Galveston County,0.2264,5156,29.5137895,-95.1797655,34.0,"Eagle Point, Galveston, TX",13.0,0.26323265306122445,2.037724917121082,0.8395061728395061,0.22653592155293176,0.9197530864197531,0.3309880392258702,0.9107612151711054,0.6424662204730245,0,0.575089955457409,0,0.5137542446374413,0,0.6912746334255682,0,0.5169976164733295,0,0,556.0
48167720301,Galveston County,0.448,2557,29.5213838,-95.2007405,10.667,"Morgans Point, TX",11.0,0.21484620408163266,1.2532862140101186,0.8641975308641976,0.44826896137682615,0.4320987654320988,0.27014704671749495,0.9455917511622237,0.4385668438099897,0,0.5030099292559063,0,0.47157097956358035,0,0.5212569185489329,0,0.49388643460939285,0,0,852.8
48167720302,Galveston County,0.3331,6992,29.4969855,-95.2103452,34.0,"Eagle Point, Galveston, TX",12.0,0.10686620408163264,2.7605320419990234,0.8518518518518519,0.3332999799879928,0.9259259259259259,0.13437328134311796,0.8786672357717532,0.6888755475507528,1,0.5481435035036858,0,0.4609743817271146,0,0.6197580113422501,0,0.5123362495844036,0,1,640.8
48167720400,Galveston County,0.099,9836,29.4830867,-95.1967697,34.0,"Eagle Point, Galveston, TX",11.0,0.09986865306122449,3.625185392591906,0.8641975308641976,0.09905943566139684,0.9320987654320988,0.1255745792645837,0.8402750203848408,0.598883033523818,0,0.44160893346956676,0,0.3559295488796621,0,0.5557920994056234,0,0.38451735050153846,0,0,837.2
48167720501,Galveston County,0.0631,4070,29.5019392,-95.1359539,34.0,"Eagle Point, Galveston, TX",12.0,0.2579157551020408,3.321212634399606,0.8518518518518519,0.06313788272963779,0.9259259259259259,0.3243025858453395,0.8537719756632429,0.5808107086474107,0,0.4917330889275493,0,0.4337727062827123,0,0.6345981576601867,0,0.4203005545612308,0,0,747.2
48167720504,Galveston County,0.1032,1680,29.4781666,-95.1708995,34.0,"Eagle Point, Galveston, TX",12.0,0.38431632653061226,2.316938369442217,0.8518518518518519,0.10326195717430459,0.9259259259259259,0.4832383288378385,0.8983636190788841,0.5968603384252774,0,0.5714852718262303,0,0.5323940026051037,0,0.7275597100435389,0,0.4934480527175761,0,0,553.2
48167720505,Galveston County,0.0385,4035,29.4749995,-95.1625849,34.0,"Eagle Point, Galveston, TX",12.0,0.42977942857142865,1.8859517021420944,0.8518518518518519,0.038523113868320996,0.9259259259259259,0.5404035126652247,0.9175002279274223,0.570964801102884,0,0.5694716262085938,0,0.5369031872657728,0,0.7464544636553515,0,0.48098020748521503,0,0,566.0
48167720506,Galveston County,0.0199,5682,29.4883705,-95.1483745,34.0,"Eagle Point, Galveston, TX",9.0,0.29697926530612245,2.652977542316223,0.8888888888888888,0.019911947168300984,0.9444444444444444,0.37342093988450015,0.8834428554057051,0.574631445533987,0,0.5048993150129908,0,0.44983923554807126,0,0.6665617709612208,0,0.42406808703887583,0,0,714.4
48167720507,Galveston County,0.0816,4960,29.4755707,-95.1410209,34.0,"Eagle Point, Galveston, TX",9.0,0.22236416326530611,1.7678514873015514,0.8888888888888888,0.08164898939363618,0.9444444444444444,0.27960010863913065,0.9227440969094712,0.5993262624241211,0,0.5125299071669269,0,0.44074105452124496,0,0.6561568797580238,0,0.44071642087137847,0,0,691.4
